seed,frac,L,rank,answer_score,top_distractor_score,bp_idf_mean,lennorm_answer,answer_len,n_docs_with_bp
13,0.0,16,2,25.461606,26.102529,7.195937,1.239842,66,1
13,0.0,32,9,23.293770,26.103629,7.195937,1.479607,82,1
13,0.0,64,10,19.921303,26.105828,7.195937,1.958906,114,1
13,0.0,128,18,15.473025,26.110224,7.195937,2.916587,178,1
13,0.0,256,27,10.720298,26.119003,7.195937,4.828280,306,1
13,0.0,512,27,6.658838,26.136511,7.195937,8.637058,562,1
13,0.0,1024,43,3.803304,26.171332,7.195937,16.196706,1074,1
13,0.25,0,1,28.090394,26.101429,0.000000,1.000000,50,9
13,0.25,8,1,26.715462,26.106378,5.350111,1.119374,58,9
13,0.25,16,2,25.474145,26.111322,5.350111,1.238576,66,9
13,0.25,32,7,23.319708,26.121195,5.350111,1.476468,82,9
13,0.25,64,7,19.973649,26.140878,5.350111,1.950207,114,9
13,0.25,128,12,15.570774,26.179997,5.350111,2.889592,178,9
13,0.25,256,20,10.880237,26.257259,5.350111,4.736628,306,9
13,0.25,512,20,6.883500,26.407998,5.350111,8.308657,562,9
13,0.25,1024,35,4.080057,26.695165,5.350111,15.000586,1074,9
13,1.0,0,1,28.090394,26.101429,0.000000,1.000000,50,31
13,1.0,8,1,26.732165,25.064196,4.151415,1.117848,58,31
13,1.0,16,1,25.508529,24.111655,4.151415,1.235114,66,31
13,1.0,32,1,23.390657,22.422014,4.151415,1.467918,82,31
13,1.0,64,1,20.116295,19.705795,4.151415,1.926734,114,31
13,1.0,128,2,15.835784,15.959557,4.151415,2.818098,178,31
13,1.0,256,2,11.311398,11.749942,4.151415,4.502520,306,31
13,1.0,512,2,7.486116,7.980523,4.151415,7.525269,562,31
13,1.0,1024,14,4.819724,5.257434,4.151415,12.478261,1074,31
14,0.0,0,1,29.960416,25.683864,0.000000,1.000000,50,1
14,0.0,8,1,28.583951,25.684442,7.195937,1.119930,58,1
14,0.0,16,1,27.330923,25.685020,7.195937,1.239842,66,1
14,0.0,32,6,25.133074,25.686175,7.195937,1.479607,82,1
14,0.0,64,10,21.662278,25.688485,7.195937,1.958906,114,1
14,0.0,128,16,16.991410,25.693102,7.195937,2.916587,178,1
14,0.0,256,21,11.889856,25.702323,7.195937,4.828280,306,1
14,0.0,512,24,7.444846,25.720714,7.195937,8.637058,562,1
14,0.0,1024,47,4.275244,25.757293,7.195937,16.196706,1074,1
14,0.25,0,1,29.960416,25.683864,0.000000,1.000000,50,9
14,0.25,8,1,28.590038,25.689063,5.350111,1.119374,58,9
14,0.25,16,1,27.343559,25.694256,5.350111,1.238576,66,9
14,0.25,32,6,25.159526,25.704625,5.350111,1.476468,82,9
14,0.25,64,8,21.716622,25.725301,5.350111,1.950207,114,9
14,0.25,128,12,17.095153,25.766397,5.350111,2.889592,178,9
14,0.25,256,17,12.063324,25.847585,5.350111,4.736628,306,9
14,0.25,512,20,7.692694,26.006056,5.350111,8.308657,562,9
14,0.25,1024,29,4.583982,26.308232,5.350111,15.000586,1074,9
14,1.0,0,1,29.960416,25.683864,0.000000,1.000000,50,31
