M,B,Dmean,Wmean,wait_dist,rho,seed,policy,util,ceiling,residual_idle,throughput,p50,p99,nbursts
4,4,8,200,lognormal-heavytail,0.0,4,cb,0.03094,0.03094,0.00000,0.12375,4,38,74
4,4,8,200,lognormal-heavytail,0.0,4,stepaware,0.03094,0.03094,0.00000,0.12375,4,38,74
4,4,8,200,lognormal-heavytail,0.5,0,serial,0.02513,0.02706,0.00194,0.10050,7,32,55
4,4,8,200,lognormal-heavytail,0.5,0,cb,0.02513,0.02513,0.00000,0.10050,6,32,55
4,4,8,200,lognormal-heavytail,0.5,0,stepaware,0.02513,0.02513,0.00000,0.10050,6,32,55
4,4,8,200,lognormal-heavytail,0.5,1,serial,0.05569,0.06319,0.00750,0.22275,6,31,122
4,4,8,200,lognormal-heavytail,0.5,1,cb,0.05625,0.05625,0.00000,0.22500,5,31,123
4,4,8,200,lognormal-heavytail,0.5,1,stepaware,0.05625,0.05625,0.00000,0.22500,5,31,123
4,4,8,200,lognormal-heavytail,0.5,2,serial,0.05262,0.06781,0.01519,0.21050,5,50,123
4,4,8,200,lognormal-heavytail,0.5,2,cb,0.05406,0.05406,0.00000,0.21625,4,35,124
4,4,8,200,lognormal-heavytail,0.5,2,stepaware,0.05406,0.05406,0.00000,0.21625,4,35,124
4,4,8,200,lognormal-heavytail,0.5,3,serial,0.04200,0.04850,0.00650,0.16800,6,40,79
4,4,8,200,lognormal-heavytail,0.5,3,cb,0.04200,0.04200,0.00000,0.16800,5,35,79
4,4,8,200,lognormal-heavytail,0.5,3,stepaware,0.04200,0.04200,0.00000,0.16800,5,35,79
4,4,8,200,lognormal-heavytail,0.5,4,serial,0.03719,0.04300,0.00581,0.14875,6,51,76
4,4,8,200,lognormal-heavytail,0.5,4,cb,0.03719,0.03719,0.00000,0.14875,5,51,76
4,4,8,200,lognormal-heavytail,0.5,4,stepaware,0.03719,0.03719,0.00000,0.14875,5,51,76
4,4,8,200,lognormal-heavytail,0.9,0,serial,0.10187,0.14825,0.04637,0.40750,8,61,199
4,4,8,200,lognormal-heavytail,0.9,0,cb,0.10519,0.10519,0.00000,0.42075,5,48,206
4,4,8,200,lognormal-heavytail,0.9,0,stepaware,0.10519,0.10519,0.00000,0.42075,5,48,206
4,4,8,200,lognormal-heavytail,0.9,1,serial,0.05719,0.06556,0.00837,0.22875,5,68,115
4,4,8,200,lognormal-heavytail,0.9,1,cb,0.05719,0.05719,0.00000,0.22875,5,36,115
4,4,8,200,lognormal-heavytail,0.9,1,stepaware,0.05719,0.05719,0.00000,0.22875,5,36,115
4,4,8,200,lognormal-heavytail,0.9,2,serial,0.03356,0.04013,0.00656,0.13425,5,45,89
4,4,8,200,lognormal-heavytail,0.9,2,cb,0.03413,0.03413,0.00000,0.13650,3,45,91
4,4,8,200,lognormal-heavytail,0.9,2,stepaware,0.03413,0.03413,0.00000,0.13650,3,45,91
4,4,8,200,lognormal-heavytail,0.9,3,serial,0.18825,0.39669,0.20844,0.75300,13,72,370
4,4,8,200,lognormal-heavytail,0.9,3,cb,0.22544,0.22544,0.00000,0.90175,5,42,453
4,4,8,200,lognormal-heavytail,0.9,3,stepaware,0.22544,0.22544,0.00000,0.90175,5,42,453
4,4,8,200,lognormal-heavytail,0.9,4,serial,0.08238,0.11125,0.02887,0.32950,8,36,181
4,4,8,200,lognormal-heavytail,0.9,4,cb,0.08381,0.08381,0.00000,0.33525,5,31,187
4,4,8,200,lognormal-heavytail,0.9,4,stepaware,0.08381,0.08381,0.00000,0.33525,5,31,187
4,4,32,50,exponential,0.0,0,serial,0.23863,0.65063,0.41200,0.95450,85,218,117
4,4,32,50,exponential,0.0,0,cb,0.41356,0.41356,0.00000,1.65425,21,145,202
4,4,32,50,exponential,0.0,0,stepaware,0.41356,0.41356,0.00000,1.65425,21,145,202
4,4,32,50,exponential,0.0,1,serial,0.24650,0.68044,0.43394,0.98600,88,318,99
4,4,32,50,exponential,0.0,1,cb,0.37806,0.37806,0.00000,1.51225,26,149,182
4,4,32,50,exponential,0.0,1,stepaware,0.37806,0.37806,0.00000,1.51225,26,149,182
4,4,32,50,exponential,0.0,2,serial,0.24231,0.67706,0.43475,0.96925,84,282,118
4,4,32,50,exponential,0.0,2,cb,0.39750,0.39750,0.00000,1.59000,19,157,210
4,4,32,50,exponential,0.0,2,stepaware,0.39750,0.39750,0.00000,1.59000,19,157,210
4,4,32,50,exponential,0.0,3,serial,0.23131,0.61950,0.38819,0.92525,62,269,123
4,4,32,50,exponential,0.0,3,cb,0.37838,0.37838,0.00000,1.51350,24,164,196
4,4,32,50,exponential,0.0,3,stepaware,0.37838,0.37838,0.00000,1.51350,24,164,196
4,4,32,50,exponential,0.0,4,serial,0.23269,0.60231,0.36963,0.93075,65,197,124
4,4,32,50,exponential,0.0,4,cb,0.34287,0.34287,0.00000,1.37150,20,147,198
4,4,32,50,exponential,0.0,4,stepaware,0.34287,0.34287,0.00000,1.37150,20,147,198
4,4,32,50,exponential,0.5,0,serial,0.22769,0.61281,0.38512,0.91075,65,229,120
